level,name,shortcode,description,uri,broaderconcept,narrowerconcept,page_content
3,languages not further defined,230,,http://data.europa.eu/esco/isced-f/0230,['http://data.europa.eu/esco/isced-f/023'],[],languages not further defined. 
3,political sciences and civics,312,"Political sciences and civics is the study of government and political principles or practice. The study of the rights and duties of the citizens are included here.
Programmes and qualifications with the following main content are classified here:
Civics
Human rights
International relations
Peace and conflict studies
Political history
Political science
Public policy studies

=== Exclusions
Study of political economics is excluded from this detailed field and included in the detailed field 0311 'Economics'.",http://data.europa.eu/esco/isced-f/0312,['http://data.europa.eu/esco/isced-f/031'],[],"political sciences and civics. Political sciences and civics is the study of government and political principles or practice. The study of the rights and duties of the citizens are included here.
Programmes and qualifications with the following main content are classified here:
Civics
Human rights
International relations
Peace and conflict studies
Political history
Political science
Public policy studies

=== Exclusions
Study of political economics is excluded from this detailed field and included in the detailed field 0311 'Economics'."
2,"inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics",58,,http://data.europa.eu/esco/isced-f/058,['http://data.europa.eu/esco/isced-f/05'],['http://data.europa.eu/esco/isced-f/0588'],"inter-disciplinary programmes and qualifications involving natural sciences, mathematics and statistics. "
3,arts and humanities not elsewhere classified,299,,http://data.europa.eu/esco/isced-f/0299,['http://data.europa.eu/esco/isced-f/029'],[],arts and humanities not elsewhere classified. 
2,manufacturing and processing,72,,http://data.europa.eu/esco/isced-f/072,['http://data.europa.eu/esco/isced-f/07'],"['http://data.europa.eu/esco/isced-f/0722', 'http://data.europa.eu/esco/isced-f/0724', 'http://data.europa.eu/esco/isced-f/0721', 'http://data.europa.eu/esco/isced-f/0723', 'http://data.europa.eu/esco/isced-f/0720', 'http://data.europa.eu/esco/isced-f/0729']",manufacturing and processing. 
3,therapy and rehabilitation,915,"Therapy and rehabilitation is the study of restoring normal physical conditions to those incapacitated by temporary or permanent disability.
Programmes and qualifications with the following main content are classified here:
Dietician programmes
Medical massage
Nutrition/Dietetics
Occupational therapy
Physiotherapy
Rehabilitation
Speech therapy

=== Exclusions
Study of psychotherapy is excluded from this detailed field and included in detailed field 0313 'Psychology'.
Study of nutrition science is excluded from this detailed field and included in narrow field 051 'Biological and related sciences'.",http://data.europa.eu/esco/isced-f/0915,['http://data.europa.eu/esco/isced-f/091'],[],"therapy and rehabilitation. Therapy and rehabilitation is the study of restoring normal physical conditions to those incapacitated by temporary or permanent disability.
Programmes and qualifications with the following main content are classified here:
Dietician programmes
Medical massage
Nutrition/Dietetics
Occupational therapy
Physiotherapy
Rehabilitation
Speech therapy

=== Exclusions
Study of psychotherapy is excluded from this detailed field and included in detailed field 0313 'Psychology'.
Study of nutrition science is excluded from this detailed field and included in narrow field 051 'Biological and related sciences'."
3,generic programmes and qualifications not further defined,0,,http://data.europa.eu/esco/isced-f/0000,['http://data.europa.eu/esco/isced-f/000'],[],generic programmes and qualifications not further defined. 
3,music and performing arts,215,"Music and performing arts is the study of the principles and techniques associated with performance involving music, speech, movement, mime, characterisation, improvisation and stage craft.
Programmes and qualifications with the following main content are classified here:
Acting and directing
Ballet
Choreography
Circus
Composition (music)
Conducting (music)
Creative and performance art
Dance
Drama
History of film and theatre
History of music
Music
Music conducting
Musicology
Theatre/Theatre sciences

=== Inclusions
Study of music and performing arts history and theory is included here.

=== Exclusions
Teacher training in music and other performing arts is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.
022 Humanities (except languages)",http://data.europa.eu/esco/isced-f/0215,['http://data.europa.eu/esco/isced-f/021'],[],"music and performing arts. Music and performing arts is the study of the principles and techniques associated with performance involving music, speech, movement, mime, characterisation, improvisation and stage craft.
Programmes and qualifications with the following main content are classified here:
Acting and directing
Ballet
Choreography
Circus
Composition (music)
Conducting (music)
Creative and performance art
Dance
Drama
History of film and theatre
History of music
Music
Music conducting
Musicology
Theatre/Theatre sciences

=== Inclusions
Study of music and performing arts history and theory is included here.

=== Exclusions
Teacher training in music and other performing arts is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.
022 Humanities (except languages)"
3,economics,311,"Economics is the study of economic policy, economic theory and economic decisionmaking.
Programmes and qualifications with the following main content are classified here:
Econometrics
Economic history
Economics
Political economics

=== Exclusions
Study of economics where emphasis is given to business studies is excluded from this detailed field and classified under 041 'Business and administration'. Study of home economics is excluded from this detailed field and included in the detailed field 1011 'Domestic services'.",http://data.europa.eu/esco/isced-f/0311,['http://data.europa.eu/esco/isced-f/031'],[],"economics. Economics is the study of economic policy, economic theory and economic decisionmaking.
Programmes and qualifications with the following main content are classified here:
Econometrics
Economic history
Economics
Political economics

=== Exclusions
Study of economics where emphasis is given to business studies is excluded from this detailed field and classified under 041 'Business and administration'. Study of home economics is excluded from this detailed field and included in the detailed field 1011 'Domestic services'."
3,"social sciences, journalism and information not further defined",300,,http://data.europa.eu/esco/isced-f/0300,['http://data.europa.eu/esco/isced-f/030'],[],"social sciences, journalism and information not further defined. "
3,engineering and engineering trades not elsewhere classified,719,"Engineering studies not covered by other detailed fields are classified here:
Nanotechnology",http://data.europa.eu/esco/isced-f/0719,['http://data.europa.eu/esco/isced-f/071'],[],"engineering and engineering trades not elsewhere classified. Engineering studies not covered by other detailed fields are classified here:
Nanotechnology"
3,chemistry,531,"Chemistry is the study of substances and their elements and how they react when combined.
Programmes and qualifications with the following main content are classified here:
Inorganic chemistry
Organic chemistry
Physical chemistry

=== Exclusions
Biochemistry is excluded from this detailed field and included in detailed field 0512 'Biochemistry'.",http://data.europa.eu/esco/isced-f/0531,['http://data.europa.eu/esco/isced-f/053'],[],"chemistry. Chemistry is the study of substances and their elements and how they react when combined.
Programmes and qualifications with the following main content are classified here:
Inorganic chemistry
Organic chemistry
Physical chemistry

=== Exclusions
Biochemistry is excluded from this detailed field and included in detailed field 0512 'Biochemistry'."
3,"hotel, restaurants and catering",1013,"Hotel, restaurants and catering is the study of providing food, beverages, accommodation and related services at hotels, restaurants etc.
Programmes and qualifications with the following main content are classified here:
Catering
Cooking (restaurant and hotel-type)
Fast food preparation
Food serving
Hospitality services
Hotel and restaurant studies
Hotel receptionist training
Hotel services
Waiting and bar service

=== Exclusions
Study of food processing (industrial) is excluded from this detailed field and included in detailed field 0721 'Food processing'.
Receptionist training (general) is excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'.",http://data.europa.eu/esco/isced-f/1013,['http://data.europa.eu/esco/isced-f/101'],[],"hotel, restaurants and catering. Hotel, restaurants and catering is the study of providing food, beverages, accommodation and related services at hotels, restaurants etc.
Programmes and qualifications with the following main content are classified here:
Catering
Cooking (restaurant and hotel-type)
Fast food preparation
Food serving
Hospitality services
Hotel and restaurant studies
Hotel receptionist training
Hotel services
Waiting and bar service

=== Exclusions
Study of food processing (industrial) is excluded from this detailed field and included in detailed field 0721 'Food processing'.
Receptionist training (general) is excluded from this detailed field and included in detailed field 0415 'Secretarial and office work'."
3,services not elsewhere classified,1099,,http://data.europa.eu/esco/isced-f/1099,['http://data.europa.eu/esco/isced-f/109'],[],services not elsewhere classified. 
3,mechanics and metal trades,715,"Mechanics and metal trades is the study of planning, designing, developing, producing, maintaining and monitoring machines, mechanical plants and systems and metal products. It includes designing and maintaining machines which produce goods and services. The focus of study in this detailed field is machines, mechanical systems and metal products.
Programmes and qualifications with the following main content are classified here:
Gunsmithing
Hydraulics
Locksmithing and safe repairing
Mechanical engineering
Mechanical trades
Metal casting and patternmaking
Metal fitting, turning and machining
Metallurgical engineering
Precision mechanics
Sheet metal working
Steel production
Tool and die making
Welding

=== Exclusions
The study of motor vehicle mechanics and engineering is excluded from this detailed field and included in detailed field 0716 'Motor vehicles, ships and aircraft'.",http://data.europa.eu/esco/isced-f/0715,['http://data.europa.eu/esco/isced-f/071'],[],"mechanics and metal trades. Mechanics and metal trades is the study of planning, designing, developing, producing, maintaining and monitoring machines, mechanical plants and systems and metal products. It includes designing and maintaining machines which produce goods and services. The focus of study in this detailed field is machines, mechanical systems and metal products.
Programmes and qualifications with the following main content are classified here:
Gunsmithing
Hydraulics
Locksmithing and safe repairing
Mechanical engineering
Mechanical trades
Metal casting and patternmaking
Metal fitting, turning and machining
Metallurgical engineering
Precision mechanics
Sheet metal working
Steel production
Tool and die making
Welding

=== Exclusions
The study of motor vehicle mechanics and engineering is excluded from this detailed field and included in detailed field 0716 'Motor vehicles, ships and aircraft'."
2,education,11,,http://data.europa.eu/esco/isced-f/011,['http://data.europa.eu/esco/isced-f/01'],"['http://data.europa.eu/esco/isced-f/0111', 'http://data.europa.eu/esco/isced-f/0114', 'http://data.europa.eu/esco/isced-f/0113', 'http://data.europa.eu/esco/isced-f/0119', 'http://data.europa.eu/esco/isced-f/0110', 'http://data.europa.eu/esco/isced-f/0112']",education. 
1,field unknown,99,,http://data.europa.eu/esco/isced-f/99,['http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22'],['http://data.europa.eu/esco/isced-f/999'],field unknown. 
1,arts and humanities,2,,http://data.europa.eu/esco/isced-f/02,['http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22'],"['http://data.europa.eu/esco/isced-f/021', 'http://data.europa.eu/esco/isced-f/022', 'http://data.europa.eu/esco/isced-f/023', 'http://data.europa.eu/esco/isced-f/029', 'http://data.europa.eu/esco/isced-f/020', 'http://data.europa.eu/esco/isced-f/028']",arts and humanities. 
3,work skills,417,"Work skills is the study of the structure and function of working life. It comprises programmes, mainly given as staff training, related to the working place and to work assignments.
Programmes and qualifications with the following main content are classified here:
Clients' needs
Company knowledge
Customer service training
'Introduction to work' courses
Organization at work
Quality assurance
Trade union courses (general)
Work development

=== Inclusions
Staff training related to the work place or work assignments is included here.

=== Exclusions
Training related to the work place or work assignments is excluded from this detailed field if it has more to do with personal development than work development and is included in detailed field 0031 'Personal skills'.
Staff training which can be classified to any other field is excluded from this detailed field and included in the appropriate field (e.g. quality courses should, if technical, be included in the detailed fields under 071 'Engineering and engineering trades'.)
Programmes in work environment should be included in detailed field 1022 'Occupational health and safety'.
Programmes, mostly at tertiary level, dealing with working life in general in terms of the labour market, the social partners, industrial psychology etc. are excluded from this detailed field and included in the detailed fields under 031 'Social and behaviour sciences'.",http://data.europa.eu/esco/isced-f/0417,['http://data.europa.eu/esco/isced-f/041'],[],"work skills. Work skills is the study of the structure and function of working life. It comprises programmes, mainly given as staff training, related to the working place and to work assignments.
Programmes and qualifications with the following main content are classified here:
Clients' needs
Company knowledge
Customer service training
'Introduction to work' courses
Organization at work
Quality assurance
Trade union courses (general)
Work development

=== Inclusions
Staff training related to the work place or work assignments is included here.

=== Exclusions
Training related to the work place or work assignments is excluded from this detailed field if it has more to do with personal development than work development and is included in detailed field 0031 'Personal skills'.
Staff training which can be classified to any other field is excluded from this detailed field and included in the appropriate field (e.g. quality courses should, if technical, be included in the detailed fields under 071 'Engineering and engineering trades'.)
Programmes in work environment should be included in detailed field 1022 'Occupational health and safety'.
Programmes, mostly at tertiary level, dealing with working life in general in terms of the labour market, the social partners, industrial psychology etc. are excluded from this detailed field and included in the detailed fields under 031 'Social and behaviour sciences'."
3,services not further defined,1000,,http://data.europa.eu/esco/isced-f/1000,['http://data.europa.eu/esco/isced-f/100'],[],services not further defined. 
2,"inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction",78,,http://data.europa.eu/esco/isced-f/078,['http://data.europa.eu/esco/isced-f/07'],['http://data.europa.eu/esco/isced-f/0788'],"inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction. "
3,fine arts,213,"Fine arts is the study of visual forms of creative expression, dealing with theory, history, techniques, performance and production in fine arts.
Programmes and qualifications with the following main content are classified here:
Art theory
Calligraphy
Etching
Fine art printmaking
History of art
Painting
Philosophy of art
Sculpture

=== Exclusions
Training in ceramics, pottery etc is excluded from this detailed field and included in detailed field 0214 'Handicrafts'.
Study of architecture is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Teacher training in arts is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.",http://data.europa.eu/esco/isced-f/0213,['http://data.europa.eu/esco/isced-f/021'],[],"fine arts. Fine arts is the study of visual forms of creative expression, dealing with theory, history, techniques, performance and production in fine arts.
Programmes and qualifications with the following main content are classified here:
Art theory
Calligraphy
Etching
Fine art printmaking
History of art
Painting
Philosophy of art
Sculpture

=== Exclusions
Training in ceramics, pottery etc is excluded from this detailed field and included in detailed field 0214 'Handicrafts'.
Study of architecture is excluded from this detailed field and included in detailed field 0731 'Architecture and town planning'.
Teacher training in arts is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'."
3,sports,1014,"Sports is the study of techniques and skills in a chosen sport.
Programmes and qualifications with the following main content are classified here:
Sport trainer studies
Techniques and skills in a chosen sport
Training of umpires/referees and other sports officials

=== Inclusions
Jockeying is included here. Chess playing is included here.

=== Exclusions
Training of school teachers in physical education (sports teachers) is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.
Fitness services are excluded from this detailed field and included in detailed field 1012 'Hair and beauty services'.",http://data.europa.eu/esco/isced-f/1014,['http://data.europa.eu/esco/isced-f/101'],[],"sports. Sports is the study of techniques and skills in a chosen sport.
Programmes and qualifications with the following main content are classified here:
Sport trainer studies
Techniques and skills in a chosen sport
Training of umpires/referees and other sports officials

=== Inclusions
Jockeying is included here. Chess playing is included here.

=== Exclusions
Training of school teachers in physical education (sports teachers) is excluded from this detailed field and included in detailed field 0114 'Teacher training with subject specialisation'.
Fitness services are excluded from this detailed field and included in detailed field 1012 'Hair and beauty services'."
3,architecture and town planning,731,"Architecture is the study of the art, science and techniques of building design. It encompasses both utilitarian ends - such as the soundness of the structure and the functional and economic efficiency of the building - and aesthetic considerations. Town planning is the study of the regulated growth and improvement of towns in both functional and aesthetical points of view.
Programmes and qualifications with the following main content are classified here:
Architectural urban design and planning
Architecture
Building design
Cartography/Land surveying
City planning
Community development
Landscape architecture
Structural architecture
Surveying
Town and country planning
Urban planning

=== Exclusions
Study of interior design is excluded from this detailed field and included in detailed field 0212 'Fashion, interior and industrial design'. Geomatics is excluded from this detailed field and included in detailed field 0532 'Earth science'.
The laying out and construction of parks and gardens is excluded from this detailed field and included in detailed field 0812 'Horticulture'.",http://data.europa.eu/esco/isced-f/0731,['http://data.europa.eu/esco/isced-f/073'],[],"architecture and town planning. Architecture is the study of the art, science and techniques of building design. It encompasses both utilitarian ends - such as the soundness of the structure and the functional and economic efficiency of the building - and aesthetic considerations. Town planning is the study of the regulated growth and improvement of towns in both functional and aesthetical points of view.
Programmes and qualifications with the following main content are classified here:
Architectural urban design and planning
Architecture
Building design
Cartography/Land surveying
City planning
Community development
Landscape architecture
Structural architecture
Surveying
Town and country planning
Urban planning

=== Exclusions
Study of interior design is excluded from this detailed field and included in detailed field 0212 'Fashion, interior and industrial design'. Geomatics is excluded from this detailed field and included in detailed field 0532 'Earth science'.
The laying out and construction of parks and gardens is excluded from this detailed field and included in detailed field 0812 'Horticulture'."
2,health,91,,http://data.europa.eu/esco/isced-f/091,['http://data.europa.eu/esco/isced-f/09'],"['http://data.europa.eu/esco/isced-f/0916', 'http://data.europa.eu/esco/isced-f/0914', 'http://data.europa.eu/esco/isced-f/0912', 'http://data.europa.eu/esco/isced-f/0915', 'http://data.europa.eu/esco/isced-f/0913', 'http://data.europa.eu/esco/isced-f/0917', 'http://data.europa.eu/esco/isced-f/0911', 'http://data.europa.eu/esco/isced-f/0910', 'http://data.europa.eu/esco/isced-f/0919']",health. 
2,basic programmes and qualifications,1,,http://data.europa.eu/esco/isced-f/001,['http://data.europa.eu/esco/isced-f/00'],['http://data.europa.eu/esco/isced-f/0011'],basic programmes and qualifications. 
3,"inter-disciplinary programmes and qualifications involving  agriculture, forestry, fisheries and veterinary",888,"Inter-disciplinary or broad programmes and qualifications to which the greatest intended learning time is devoted to agriculture, forestry, fisheries and veterinary are classified here.",http://data.europa.eu/esco/isced-f/0888,['http://data.europa.eu/esco/isced-f/088'],[],"inter-disciplinary programmes and qualifications involving  agriculture, forestry, fisheries and veterinary. Inter-disciplinary or broad programmes and qualifications to which the greatest intended learning time is devoted to agriculture, forestry, fisheries and veterinary are classified here."
2,inter-disciplinary programmes and qualifications involving information and communication technologies (icts),68,,http://data.europa.eu/esco/isced-f/068,['http://data.europa.eu/esco/isced-f/06'],['http://data.europa.eu/esco/isced-f/0688'],inter-disciplinary programmes and qualifications involving information and communication technologies (icts). 
3,welfare not further defined,920,,http://data.europa.eu/esco/isced-f/0920,['http://data.europa.eu/esco/isced-f/092'],[],welfare not further defined. 
3,personal skills and development,31,"Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'.",http://data.europa.eu/esco/isced-f/0031,['http://data.europa.eu/esco/isced-f/003'],[],"personal skills and development. Personal skills are defined by reference to the effects on the individual's capacity (mental, social etc.). This detailed field covers personal skills programmes not included in 0011 'Basic programmes and qualifications' or 0021 'Literacy and numeracy', giving key competencies and transferable skills.
Programmes and qualifications with the following main content are classified here:
Argumentation and presentation
Assertiveness training
Communication skills
Co-operation
Development of behavioural capacities
Development of mental skills
Job-seeking programmes
Parenting courses
Public speaking
Self-esteem skills
Social competence
Time management

=== Inclusions
Education and training in leadership in the context of personal development is included here.
Education and training related to the work place or to work assignments is included in this detailed field if it has more to do with personal development than work development. Personal skills courses can be taught at the workplace, but still be classified here based on their content.
Programmes for people with special needs on how to cope with their daily life are included here

=== Exclusions
Study of leadership in the context of management is excluded from this group and included in detailed field 0413 'Management and administration'."
1,"natural sciences, mathematics and statistics",5,,http://data.europa.eu/esco/isced-f/05,['http://data.europa.eu/esco/skill/c46fcb45-5c14-4ffa-abed-5a43f104bb22'],"['http://data.europa.eu/esco/isced-f/051', 'http://data.europa.eu/esco/isced-f/052', 'http://data.europa.eu/esco/isced-f/053', 'http://data.europa.eu/esco/isced-f/054', 'http://data.europa.eu/esco/isced-f/058', 'http://data.europa.eu/esco/isced-f/059', 'http://data.europa.eu/esco/isced-f/050']","natural sciences, mathematics and statistics. "
3,humanities (except languages) not elsewhere classified,229,,http://data.europa.eu/esco/isced-f/0229,['http://data.europa.eu/esco/isced-f/022'],[],humanities (except languages) not elsewhere classified. 
3,security services not elsewhere classified,1039,,http://data.europa.eu/esco/isced-f/1039,['http://data.europa.eu/esco/isced-f/103'],[],security services not elsewhere classified. 
3,"inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction",788,"Inter-disciplinary or broad programmes and qualifications to which the greatest intended learning time is devoted to engineering, manufacturing and construction are classified here.",http://data.europa.eu/esco/isced-f/0788,['http://data.europa.eu/esco/isced-f/078'],[],"inter-disciplinary programmes and qualifications involving engineering, manufacturing and construction. Inter-disciplinary or broad programmes and qualifications to which the greatest intended learning time is devoted to engineering, manufacturing and construction are classified here."
3,environment not elsewhere classified,529,,http://data.europa.eu/esco/isced-f/0529,['http://data.europa.eu/esco/isced-f/052'],[],environment not elsewhere classified. 
3,care of the elderly and of disabled adults,921,"Care of the elderly and of disabled adults is the study of non-medical care of the elderly and disabled.
Programmes and qualifications with the following main content are classified here:
Care of the elderly
Non-medical care of disabled adults
Personal care of adults

=== Exclusions
Study of health care of the elderly and disabled is excluded from this detailed field and included in detailed field 0913 'Nursing and midwifery'.",http://data.europa.eu/esco/isced-f/0921,['http://data.europa.eu/esco/isced-f/092'],[],"care of the elderly and of disabled adults. Care of the elderly and of disabled adults is the study of non-medical care of the elderly and disabled.
Programmes and qualifications with the following main content are classified here:
Care of the elderly
Non-medical care of disabled adults
Personal care of adults

=== Exclusions
Study of health care of the elderly and disabled is excluded from this detailed field and included in detailed field 0913 'Nursing and midwifery'."
2,security services,103,,http://data.europa.eu/esco/isced-f/103,['http://data.europa.eu/esco/isced-f/10'],"['http://data.europa.eu/esco/isced-f/1031', 'http://data.europa.eu/esco/isced-f/1032', 'http://data.europa.eu/esco/isced-f/1030', 'http://data.europa.eu/esco/isced-f/1039']",security services. 
2,architecture and construction,73,,http://data.europa.eu/esco/isced-f/073,['http://data.europa.eu/esco/isced-f/07'],"['http://data.europa.eu/esco/isced-f/0732', 'http://data.europa.eu/esco/isced-f/0731', 'http://data.europa.eu/esco/isced-f/0730']",architecture and construction. 
2,business and administration,41,,http://data.europa.eu/esco/isced-f/041,['http://data.europa.eu/esco/isced-f/04'],"['http://data.europa.eu/esco/isced-f/0413', 'http://data.europa.eu/esco/isced-f/0410', 'http://data.europa.eu/esco/isced-f/0417', 'http://data.europa.eu/esco/isced-f/0415', 'http://data.europa.eu/esco/isced-f/0416', 'http://data.europa.eu/esco/isced-f/0411', 'http://data.europa.eu/esco/isced-f/0414', 'http://data.europa.eu/esco/isced-f/0412', 'http://data.europa.eu/esco/isced-f/0419']",business and administration. 
